body,bodyId,ordinal,preShadowStartDegree,preShadowStartJulianDayUT,preShadowStartUTC,retrogradeStationDegree,retrogradeStationJulianDayUT,retrogradeStationUTC,directStationDegree,directStationJulianDayUT,directStationUTC,postShadowEndDegree,postShadowEndJulianDayUT,postShadowEndUTC
Mercury,2,1015,15.745595478104137,2414732.9901368134,1899-03-19T11:45:47.821Z,26.85069096634761,2414746.76129961,1899-04-02T06:16:16.286Z,15.745595478104137,2414770.4036866203,1899-04-25T21:41:18.524Z,26.85069096634761,2414788.143385846,1899-05-13T15:26:28.537Z
Pluto,9,321,74.69572503445104,2414789.923964739,1899-05-15T10:10:30.553Z,76.70600943244675,2414913.975603166,1899-09-16T11:24:52.114Z,74.69572503445104,2415078.115702099,1900-02-27T14:46:36.661Z,76.70600943244675,2415201.1342134885,1900-06-30T15:13:16.045Z
Neptune,8,321,84.21026376439818,2414814.0710299276,1899-06-08T13:42:16.986Z,87.02904469028431,2414927.734187483,1899-09-30T05:37:13.799Z,84.21026376439818,2415084.2041431414,1900-03-05T16:53:57.967Z,87.02904469028431,2415197.316037491,1900-06-26T19:35:05.639Z
Mercury,2,1016,140.91151692368277,2414852.8875517733,1899-07-17T09:18:04.473Z,153.71744318361652,2414872.0129079,1899-08-05T12:18:35.243Z,140.91151692368277,2414895.645381108,1899-08-29T03:29:20.928Z,153.71744318361652,2414909.769074578,1899-09-12T06:27:28.044Z
Mercury,2,1017,245.82367987582623,2414966.2734502293,1899-11-07T18:33:46.100Z,262.10335766917785,2414984.791086942,1899-11-26T06:59:09.912Z,245.82367987582623,2415004.5472260937,1899-12-16T01:08:00.334Z,262.10335766917785,2415022.8783179633,1900-01-03T09:04:46.672Z
Uranus,7,319,248.45194071737208,2414992.0156599022,1899-12-03T12:22:33.016Z,252.48247094791728,2415096.310484945,1900-03-17T19:27:05.899Z,248.45194071737208,2415249.2615917185,1900-08-17T18:16:41.524Z,252.48247094791728,2415355.059280228,1900-12-01T13:25:21.812Z
Jupiter,5,296,241.0141603464995,2415019.8785606213,1899-12-31T09:05:07.638Z,250.86932378018122,2415106.387775868,1900-03-27T21:18:23.835Z,241.0141603464995,2415229.599646248,1900-07-29T02:23:29.436Z,250.86932378018122,2415316.818864543,1900-10-24T07:39:09.897Z
Saturn,6,312,268.43299620446976,2415026.708168272,1900-01-07T04:59:45.739Z,275.0374599361859,2415123.7907192484,1900-04-14T06:58:38.143Z,268.43299620446976,2415265.135850735,1900-09-02T15:15:37.504Z,275.0374599361859,2415362.703962747,1900-12-09T04:53:42.381Z
Mercury,2,1018,356.5281809929923,2415080.1317709573,1900-03-01T15:09:45.011Z,9.166159888854418,2415094.056919791,1900-03-15T13:21:57.870Z,356.5281809929923,2415117.2854229584,1900-04-07T18:51:00.544Z,9.166159888854418,2415136.0976785533,1900-04-26T14:20:39.427Z
Venus,3,202,97.4999225569418,2415153.758910127,1900-05-14T06:12:49.835Z,114.0009180191338,2415187.4305197913,1900-06-16T22:19:56.910Z,97.4999225569418,2415230.603849834,1900-07-30T02:29:32.626Z,114.0009180191338,2415264.408311736,1900-09-01T21:47:58.134Z
