body,start_jd_ut,end_jd_ut,start_station_physical_degree,end_station_physical_degree,start_boundary,end_boundary
Mercury,2330973.7394425664,2330993.494904099,256.8736454672911,240.60373284927547,station,station
Mercury,2331082.8941047452,2331106.074575587,3.796268179656123,351.00226127704394,station,station
Mercury,2331207.781151586,2331231.894301504,129.67670305907222,118.37778156794066,station,station
Mercury,2331322.414124175,2331342.359298708,241.0544317967803,224.90517493395367,station,station
Mercury,2331430.9066176293,2331453.4345720196,346.786655638877,332.69044055741034,station,station
Mercury,2331554.3037192533,2331578.5280841524,110.35025413440162,100.43522076662839,station,station
Mercury,2331670.914490219,2331691.2870791955,225.1626917341569,209.2233116866349,station,station
Mercury,2331779.3650099775,2331801.143701668,330.2081530657365,315.13720912889573,station,station
Mercury,2331900.3226886746,2331924.384265283,90.46419627039172,81.5874158718276,station,station
Mercury,2332019.216792551,2332040.2138069766,209.10337485570045,193.49300970479175,station,station
Mercury,2332128.095513344,2332149.1476918934,313.9255849847511,298.2072440907708,station,station
Mercury,2332245.9283953113,2332269.8141316595,70.43404286803698,61.871464662440424,station,station
Mercury,2332367.292541207,2332389.053653474,192.757178040109,177.64972451338534,station,station
Mercury,2332476.9669804918,2332497.4009551806,297.8572668112256,281.7659759716446,station,station
Mercury,2332591.532144445,2332615.379035864,50.815164725856704,41.679431248375515,station,station
Mercury,2332715.111209688,2332737.696989055,175.98082186326386,161.6072869034332,station,station
Mercury,2332825.875343334,2332845.8635309124,281.9230805265585,265.65904114967384,station,station
Mercury,2332937.686946121,2332961.4352144105,31.967020871959924,21.569576238582247,station,station
Mercury,2333062.648583726,2333086.0004923493,158.63281077722604,145.262895104433,station,station
Mercury,2333174.7437878493,2333194.510000334,266.0738553225863,249.77505487450895,station,station
Mercury,2333284.632231243,2333308.0726092746,13.939066531422059,2.00266280934347,station,station
Mercury,2333409.8672669344,2333433.7835832443,140.5506562776819,128.44401957937234,station,station
Mercury,2333523.5086018248,2333543.3069992894,250.25708911788806,234.02365926714094,station,station
