body,startCelestialTimeDegrees,endCelestialTimeDegrees,startOffsetSeconds,endOffsetSeconds,startJulianDay,endJulianDay,userFacingMotion
NorthNode,271.971538460,271.286176808,173524475,174353345,2299180.125995785929,2299189.719392935745,retrograde
NorthNode,271.356225964,270.718483470,174699805,175604334,2299193.729349006899,2299204.198438739404,retrograde
Mars,116.887303265,97.759158659,175680891,182503410,2299205.084511176683,2299284.048857972957,retrograde
NorthNode,270.817275373,270.646067857,176070703,176721377,2299209.596229540184,2299217.127171790227,retrograde
Mercury,279.833335277,263.567400655,177095814,178821600,2299221.460942193866,2299241.435306876898,retrograde
NorthNode,270.709266033,270.687106968,177273217,177766032,2299223.514210855588,2299229.218090157025,retrograde
NorthNode,270.688957088,270.625040647,177964367,178609358,2299231.513639671728,2299238.978811612353,retrograde
NorthNode,270.691230844,270.396344639,179092778,179854489,2299244.573941125534,2299253.390051308088,retrograde
NorthNode,270.508501221,269.931117585,180322432,181143175,2299258.806054338813,2299268.305397957563,retrograde
NorthNode,269.986703152,268.925730316,181449175,182437927,2299271.847057071514,2299283.290943725966,retrograde
NorthNode,268.955135223,267.785551391,182676842,183676494,2299286.056172535755,2299297.626213977113,retrograde
NorthNode,267.789580214,266.078907982,183788710,185011059,2299298.925014195964,2299313.072570663877,retrograde
NorthNode,266.078913924,264.791057632,185024280,186122580,2299313.225585037842,2299325.937390655279,retrograde
NorthNode,264.793137426,263.252230263,186212711,187357846,2299326.980580145493,2299340.234455288388,retrograde
Mercury,29.775336206,19.313540267,186747720,188799563,2299333.172807015479,2299356.920993179083,retrograde
NorthNode,263.276052220,262.458035138,187581330,188470056,2299342.821071628481,2299353.107260788791,retrograde
NorthNode,262.502269505,261.715229984,188752277,189701680,2299356.373707382008,2299367.362165780738,retrograde
NorthNode,261.808490757,261.532606283,190132218,190833561,2299372.345247090794,2299380.462634381838,retrograde
NorthNode,261.607399022,261.459926094,191298397,192053188,2299385.842687429860,2299394.578694466501,retrograde
Uranus,327.171888684,323.253868780,191695626,205004230,2299390.440246607177,2299544.475007136352,retrograde
NorthNode,261.507289337,261.419251862,193206790,193851874,2299407.930563461035,2299415.396821438335,retrograde
NorthNode,261.517062297,261.181767884,194411246,195198437,2299421.871030271053,2299430.982034965418,retrograde
Saturn,353.296982432,346.538781691,194578001,206510955,2299423.801060721278,2299561.913952685893,retrograde
Pluto,7.003606672,4.950624425,194798027,209064820,2299426.347663435154,2299591.472577559762,retrograde
NorthNode,261.249660122,260.675578804,195570940,196414155,2299435.293411350809,2299445.052852246910,retrograde
Jupiter,358.560065103,348.646367993,195778972,205988968,2299437.701189205050,2299555.872439734638,retrograde
NorthNode,260.742725432,259.804089195,196764873,197722619,2299449.112078053877,2299460.197108983994,retrograde
Mercury,156.451290578,143.129722441,197547241,199567237,2299458.167273834348,2299481.546856679022,retrograde
NorthNode,259.823083280,258.566996266,197921358,198983643,2299462.497323568910,2299474.792292834260,retrograde
NorthNode,258.571762479,257.186151178,199111083,200244438,2299476.267285766080,2299489.384826675057,retrograde
NorthNode,257.186164142,255.602552551,200260809,201450410,2299489.574303326197,2299503.342832426541,retrograde
NorthNode,255.605535458,254.398925567,201558020,202594346,2299504.588326007128,2299516.582837055437,retrograde
NorthNode,254.414916180,253.257727793,202777811,203792803,2299518.706272615120,2299530.453861712478,retrograde
NorthNode,253.323886100,252.737923570,204130259,204947406,2299534.359602256678,2299543.817325128242,retrograde
Neptune,112.591091578,109.780811754,204347288,217874876,2299536.871521077119,2299693.440820653923,retrograde
NorthNode,252.811230680,252.394310551,205316721,206142883,2299548.091810850427,2299557.653861928731,retrograde
NorthNode,252.499422210,252.413687683,206696575,207316413,2299564.062336356379,2299571.236388506368,retrograde
Mercury,263.984991173,247.689469974,207237562,208945146,2299570.323759339750,2299590.087461665273,retrograde
Venus,277.598649981,262.277091519,207481831,211013184,2299573.150953592733,2299614.023092759773,retrograde
NorthNode,252.429904949,252.429770632,207780987,207865465,2299576.613404299133,2299577.591160697863,retrograde
NorthNode,252.475493608,252.286431468,208499634,209253237,2299584.931077362970,2299593.653337667696,retrograde
NorthNode,252.365680788,252.001259146,209692490,210431381,2299598.737278226763,2299607.289258164354,retrograde
NorthNode,252.102413272,251.193805750,210852105,211800273,2299612.158750776201,2299623.132921972312,retrograde
NorthNode,251.231044734,250.203053774,212053309,213006148,2299626.061573665589,2299637.089807556011,retrograde
NorthNode,250.219014715,248.638162689,213196684,214337728,2299639.295077341609,2299652.501606178470,retrograde
NorthNode,248.638735693,247.186243121,214395058,215534947,2299653.165152878501,2299666.358313996345,retrograde
NorthNode,247.186602679,245.684798210,215587246,216727969,2299666.963625033386,2299680.166435552761,retrograde
Mercury,11.777931661,359.776018077,216726660,218750491,2299680.151281304657,2299703.575250916183,retrograde
NorthNode,245.692731453,244.539594209,216870171,217878950,2299681.812287227251,2299693.487971522845,retrograde
NorthNode,244.583634430,243.781548327,218164669,219073207,2299696.794904386625,2299707.310396818444,retrograde
NorthNode,243.840121741,243.337437319,219398148,220231159,2299711.071286244318,2299720.712618789636,retrograde
NorthNode,243.446583325,243.253740199,220734279,221434938,2299726.535763350315,2299734.645237420686,retrograde
NorthNode,243.305359469,243.268613790,221927778,222567578,2299740.349405090325,2299747.754507116973,retrograde
NorthNode,243.268636340,243.225987223,222615143,223291896,2299748.305018317886,2299756.137813515961,retrograde
Uranus,331.166944295,327.248283563,223609208,236910886,2299759.810399557464,2299913.765013362281,retrograde
NorthNode,243.283808279,243.116676649,223806986,224461584,2299762.099499208853,2299769.675862505101,retrograde
NorthNode,243.213728561,242.642127897,224942613,225839696,2299775.243335107807,2299785.626232395880,retrograde
NorthNode,242.701724299,242.066611885,226173271,227005489,2299789.487055656500,2299799.119216810912,retrograde
Pluto,8.059293097,6.010180721,226453371,240711513,2299792.728960118257,2299957.753746383823,retrograde
NorthNode,242.108658768,240.796647773,227288750,228377983,2299802.397697838955,2299815.004560305737,retrograde
Saturn,6.045570482,359.246397304,227289404,239148883,2299802.405266143382,2299939.667755417526,retrograde
Mercury,138.341109060,126.291162763,227545465,229613669,2299805.368934489787,2299829.306477598846,retrograde
NorthNode,240.804895281,239.662408184,228525544,229560681,2299816.712438634597,2299828.693191835657,retrograde
NorthNode,239.663170470,237.965585523,229628528,230862313,2299829.478465811349,2299843.758373808116,retrograde
Jupiter,35.475379074,25.479031762,230584441,240736422,2299840.542272724211,2299958.042043440044,retrograde
NorthNode,237.965913094,236.738561486,230910958,231968578,2299844.321398079395,2299856.562368314713,retrograde
NorthNode,236.748018494,235.453185293,232128606,233199240,2299858.414544965141,2299870.806147384457,retrograde
NorthNode,235.484361504,234.711465061,233438958,234319192,2299873.580659368075,2299883.768550784327,retrograde
NorthNode,234.795763739,234.266851266,234704261,235548940,2299888.225369471125,2299898.001745924354,retrograde
NorthNode,234.346287553,234.132070108,235968332,236678594,2299902.855820304714,2299911.076452186331,retrograde
Neptune,114.811616516,112.003043264,236102195,249626345,2299904.405164406635,2300060.934677044861,retrograde
