directional_degree,physical_degree,navigation_cell,motion,jd_ut,civic_offset_seconds
98.10000000000001,98.10000000000001,98,direct,2357452.6046657716,5208266632
98.2,98.2,98,direct,2357455.829021621,5208545216
98.30000000000001,98.30000000000001,98,direct,2357458.9614768294,5208815861
98.4,98.4,98,direct,2357462.016284703,5209079796
98.5,98.5,98,direct,2357464.999685571,5209337562
98.60000000000001,98.60000000000001,98,direct,2357467.9208614137,5209589951
98.7,98.7,98,direct,2357470.7944394844,5209838229
98.80000000000001,98.80000000000001,98,direct,2357473.629085862,5210083142
98.9,98.9,98,direct,2357476.428548958,5210325016
99,99,99,direct,2357479.1964353668,5210564161
99.10000000000001,99.10000000000001,99,direct,2357481.937997965,5210801032
99.2,99.2,99,direct,2357484.6600440056,5211036217
99.30000000000001,99.30000000000001,99,direct,2357487.368740972,5211270248
99.4,99.4,99,direct,2357490.06681703,5211503362
99.5,99.5,99,direct,2357492.7545002094,5211735578
99.60000000000001,99.60000000000001,99,direct,2357495.4414827093,5211967733
99.7,99.7,99,direct,2357498.1271630796,5212199776
99.80000000000001,99.80000000000001,99,direct,2357500.8222560952,5212432632
99.9,99.9,99,direct,2357503.528288862,5212666433
100,100,100,direct,2357506.24738849,5212901363
100.10000000000001,100.10000000000001,100,direct,2357508.9837032743,5213137781
100.2,100.2,100,direct,2357511.7437857846,5213376252
100.30000000000001,100.30000000000001,100,direct,2357514.5348582757,5213617401
100.4,100.4,100,direct,2357517.3611033354,5213861588
100.5,100.5,100,direct,2357520.224715542,5214109004
100.60000000000001,100.60000000000001,100,direct,2357523.133310606,5214360307
100.7,100.7,100,direct,2357526.1005446697,5214616676
100.80000000000001,100.80000000000001,100,direct,2357529.137154665,5214879039
100.9,100.9,100,direct,2357532.2507112906,5215148050
101,101,101,direct,2357535.4520886987,5215424649
101.10000000000001,101.10000000000001,101,direct,2357538.7592271967,5215710386
101.2,101.2,101,direct,2357542.1971268915,5216007421
101.30000000000001,101.30000000000001,101,direct,2357545.78871156,5216317734
101.4,101.4,101,direct,2357549.5608973536,5216643651
101.5,101.5,101,direct,2357553.5715501886,5216990171
101.60000000000001,101.60000000000001,101,direct,2357557.897877072,5217363966
101.7,101.7,101,direct,2357562.6376367407,5217773481
101.80000000000001,101.80000000000001,101,direct,2357567.980131528,5218235072
101.9,101.9,101,direct,2357574.3123782384,5218782179
102,102,102,direct,2357582.6616682704,5219503557
462,102,462,retrograde,2357617.3000218123,5222496311
461.9,101.89999999999998,461,retrograde,2357625.764446179,5223227637
461.8,101.80000000000001,461,retrograde,2357632.2289198125,5223786168
461.7,101.69999999999999,461,retrograde,2357637.7182008293,5224260442
461.6,101.60000000000002,461,retrograde,2357642.620824689,5224684028
461.5,101.5,461,retrograde,2357647.1375413705,5225074273
461.4,101.39999999999998,461,retrograde,2357651.3692352753,5225439891
461.3,101.30000000000001,461,retrograde,2357655.3928184994,5225787529
461.2,101.19999999999999,461,retrograde,2357659.2701288816,5226122528
461.1,101.10000000000002,461,retrograde,2357663.024547457,5226446910
461,101,461,retrograde,2357666.684437371,5226763124
460.9,100.89999999999998,460,retrograde,2357670.282979764,5227074038
460.8,100.80000000000001,460,retrograde,2357673.8426231486,5227381592
460.7,100.69999999999999,460,retrograde,2357677.378084325,5227687056
460.6,100.60000000000002,460,retrograde,2357680.9070833325,5227991961
460.5,100.5,460,retrograde,2357684.456209281,5228298606
460.4,100.39999999999998,460,retrograde,2357688.044266867,5228608614
460.3,100.30000000000001,460,retrograde,2357691.6795696644,5228922704
460.2,100.19999999999999,460,retrograde,2357695.389119,5229243209
460.1,100.10000000000002,460,retrograde,2357699.2074583117,5229573113
460,100,460,retrograde,2357703.1666520163,5229915188
459.9,99.89999999999998,459,retrograde,2357707.3055173447,5230272786
459.8,99.80000000000001,459,retrograde,2357711.6972799962,5230652234
459.7,99.69999999999999,459,retrograde,2357716.4391365577,5231061930
459.6,99.60000000000002,459,retrograde,2357721.6564323404,5231512705
459.5,99.5,459,retrograde,2357727.6469737994,5232030288
459.4,99.39999999999998,459,retrograde,2357735.05020492,5232669927
459.3,99.30000000000001,459,retrograde,2357746.808277245,5233685824
99.30000000000001,99.30000000000001,99,direct,2357765.857176158,5235331649
99.4,99.4,99,direct,2357777.47948779,5236335817
99.5,99.5,99,direct,2357784.778484525,5236966450
99.60000000000001,99.60000000000001,99,direct,2357790.645188187,5237473333
99.7,99.7,99,direct,2357795.704466226,5237910455
99.80000000000001,99.80000000000001,99,direct,2357800.2563142795,5238303735
99.9,99.9,99,direct,2357804.450471474,5238666110
100,100,100,direct,2357808.3646804644,5239004297
100.10000000000001,100.10000000000001,100,direct,2357812.062491422,5239323788
100.2,100.2,100,direct,2357815.5906646913,5239628622
100.30000000000001,100.30000000000001,100,direct,2357818.9763768367,5239921148
100.4,100.4,100,direct,2357822.2369373874,5240202860
100.5,100.5,100,direct,2357825.3980255504,5240475978
100.60000000000001,100.60000000000001,100,direct,2357828.480045414,5240742265
100.7,100.7,100,direct,2357831.49124918,5241002433
100.80000000000001,100.80000000000001,100,direct,2357834.438786748,5241257100
100.9,100.9,100,direct,2357837.3321790886,5241507089
101,101,101,direct,2357840.181422526,5241753264
101.10000000000001,101.10000000000001,101,direct,2357842.994322246,5241996298
101.2,101.2,101,direct,2357845.774886927,5242236539
101.30000000000001,101.30000000000001,101,direct,2357848.5249094497,5242474141
101.4,101.4,101,direct,2357851.25069808,5242709649
101.5,101.5,101,direct,2357853.962432766,5242943943
101.60000000000001,101.60000000000001,101,direct,2357856.6647240673,5243177421
101.7,101.7,101,direct,2357859.3584014107,5243410155
101.80000000000001,101.80000000000001,101,direct,2357862.0493191094,5243642650
101.9,101.9,101,direct,2357864.7374499366,5243874905
102,102,102,direct,2357867.429913326,5244107534
102.10000000000001,102.10000000000001,102,direct,2357870.132795901,5244341063
102.2,102.2,102,direct,2357872.8485047338,5244575700
102.30000000000001,102.30000000000001,102,direct,2357875.5781117203,5244811538
102.4,102.4,102,direct,2357878.3263381557,5245048985
102.5,102.5,102,direct,2357881.1036647023,5245288946
102.60000000000001,102.60000000000001,102,direct,2357883.917198073,5245532035
102.7,102.7,102,direct,2357886.7694285447,5245778468
102.80000000000001,102.80000000000001,102,direct,2357889.6652267487,5246028665
102.9,102.9,102,direct,2357892.6134535195,5246283391
103,103,103,direct,2357895.625624631,5246543643
103.10000000000001,103.10000000000001,103,direct,2357898.7127729156,5246810373
103.2,103.2,103,direct,2357901.8830385343,5247084284
103.30000000000001,103.30000000000001,103,direct,2357905.1479861448,5247366375
103.4,103.4,103,direct,2357908.533808681,5247658910
103.5,103.5,103,direct,2357912.0698264036,5247964422
103.60000000000001,103.60000000000001,103,direct,2357915.780253394,5248285003
103.7,103.7,103,direct,2357919.706409319,5248624223
103.80000000000001,103.80000000000001,103,direct,2357923.916941744,5248988013
103.9,103.9,103,direct,2357928.5040270006,5249384337
104,104,104,direct,2357933.6031278726,5249824899
104.10000000000001,104.10000000000001,104,direct,2357939.535317311,5250337440
104.2,104.2,104,direct,2357946.9935131776,5250981829
104.30000000000001,104.30000000000001,104,direct,2357959.535526863,5252065459
464.3,104.30000000000001,464,retrograde,2357975.339851772,5253430952
464.2,104.19999999999999,464,retrograde,2357987.978136612,5254522900
464.1,104.10000000000002,464,retrograde,2357995.5435636346,5255176553
464,104,464,retrograde,2358001.6078443103,5255700507
463.9,103.89999999999998,463,retrograde,2358006.866841231,5256154884
463.8,103.80000000000001,463,retrograde,2358011.623666796,5256565874
463.7,103.69999999999999,463,retrograde,2358016.04413225,5256947802
463.6,103.60000000000002,463,retrograde,2358020.199885393,5257306859
463.5,103.5,463,retrograde,2358024.165026087,5257649447
463.4,103.39999999999998,463,retrograde,2358027.991785162,5257980079
463.3,103.30000000000001,463,retrograde,2358031.709529249,5258301292
463.2,103.19999999999999,463,retrograde,2358035.344559252,5258615359
463.1,103.10000000000002,463,retrograde,2358038.927621348,5258924936
463,103,463,retrograde,2358042.483561811,5259232169
462.9,102.89999999999998,462,retrograde,2358046.0186482007,5259537600
462.8,102.80000000000001,462,retrograde,2358049.551027856,5259842798
462.7,102.69999999999999,462,retrograde,2358053.107055374,5260150039
462.6,102.60000000000002,462,retrograde,2358056.705050874,5260460905
462.5,102.5,462,retrograde,2358060.361480863,5260776821
462.4,102.39999999999998,462,retrograde,2358064.1022370486,5261100022
462.3,102.30000000000001,462,retrograde,2358067.9668563916,5261433925
462.2,102.19999999999999,462,retrograde,2358071.9893696248,5261781471
462.1,102.10000000000002,462,retrograde,2358076.204597357,5262145666
462,102,462,retrograde,2358080.696513474,5262533768
461.9,101.89999999999998,461,retrograde,2358085.5719162235,5262955003
461.8,101.80000000000001,461,retrograde,2358091.0000572936,5263423994
461.7,101.69999999999999,461,retrograde,2358097.368524882,5263974230
461.6,101.60000000000002,461,retrograde,2358105.5914572068,5264684691
101.60000000000001,101.60000000000001,101,direct,2358141.9894200163,5267829475
101.7,101.7,101,direct,2358150.111577354,5268531229
101.80000000000001,101.80000000000001,101,direct,2358156.336209251,5269069038
101.9,101.9,101,direct,2358161.6331806136,5269526696
102,102,102,direct,2358166.3380555096,5269933197
102.10000000000001,102.10000000000001,102,direct,2358170.642882443,5270305134
102.2,102.2,102,direct,2358174.6453615227,5270650948
102.30000000000001,102.30000000000001,102,direct,2358178.4056754406,5270975839
102.4,102.4,102,direct,2358181.9832024635,5271284938
102.5,102.5,102,direct,2358185.4155734223,5271581495
102.60000000000001,102.60000000000001,102,direct,2358188.7205397547,5271867044
